tarih,rota,saat_araligi,fiyat,tedarikçi,araç
2025-03-31 00:28:36,beyoglu_to_istanbul,12 saat,€101.11,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:28:39,istanbul_to_bakirkoy,4 saat,€50.85,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:28:39,istanbul_to_bakirkoy,4 saat,€51.92,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:28:39,istanbul_to_bakirkoy,4 saat,€52.21,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:28:39,istanbul_to_bakirkoy,4 saat,€55.18,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:28:39,istanbul_to_bakirkoy,4 saat,€114.38,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:28:42,istanbul_to_bakirkoy,8 saat,€44.66,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:28:42,istanbul_to_bakirkoy,8 saat,€48.79,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:28:42,istanbul_to_bakirkoy,8 saat,€49.9,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:28:42,istanbul_to_bakirkoy,8 saat,€51.02,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:28:42,istanbul_to_bakirkoy,8 saat,€98.4,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:28:42,istanbul_to_bakirkoy,8 saat,€99.94,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
2025-03-31 00:28:47,istanbul_to_bakirkoy,10 saat,€54.06,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:28:47,istanbul_to_bakirkoy,10 saat,€54.06,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:28:47,istanbul_to_bakirkoy,10 saat,€54.06,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:28:47,istanbul_to_bakirkoy,10 saat,€56.26,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:28:47,istanbul_to_bakirkoy,10 saat,€100.74,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:28:47,istanbul_to_bakirkoy,10 saat,€109.9,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
2025-03-31 00:28:50,istanbul_to_bakirkoy,12 saat,€50.77,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:28:50,istanbul_to_bakirkoy,12 saat,€50.77,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:28:50,istanbul_to_bakirkoy,12 saat,€50.77,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:28:50,istanbul_to_bakirkoy,12 saat,€50.77,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:28:50,istanbul_to_bakirkoy,12 saat,€68.14,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
2025-03-31 00:28:50,istanbul_to_bakirkoy,12 saat,€100.86,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:28:53,bakirkoy_to_istanbul,4 saat,€47.45,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:28:53,bakirkoy_to_istanbul,4 saat,€47.61,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:28:53,bakirkoy_to_istanbul,4 saat,€49.77,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:28:53,bakirkoy_to_istanbul,4 saat,€52.18,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:28:53,bakirkoy_to_istanbul,4 saat,€109.96,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:28:57,bakirkoy_to_istanbul,8 saat,€48.79,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:28:57,bakirkoy_to_istanbul,8 saat,€48.79,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:28:57,bakirkoy_to_istanbul,8 saat,€48.79,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:28:57,bakirkoy_to_istanbul,8 saat,€50.43,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:28:57,bakirkoy_to_istanbul,8 saat,€100.86,Truva Group Tasimacilik LTD STI (Alantransfer),Minibus (Renault Master or similar)
2025-03-31 00:29:00,bakirkoy_to_istanbul,10 saat,€48.79,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:29:00,bakirkoy_to_istanbul,10 saat,€49.18,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:29:00,bakirkoy_to_istanbul,10 saat,€49.9,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:29:00,bakirkoy_to_istanbul,10 saat,€49.9,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:29:00,bakirkoy_to_istanbul,10 saat,€100.86,Truva Group Tasimacilik LTD STI (Alantransfer),Minibus (Renault Master or similar)
2025-03-31 00:29:04,bakirkoy_to_istanbul,12 saat,€47.61,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:29:04,bakirkoy_to_istanbul,12 saat,€47.61,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:29:04,bakirkoy_to_istanbul,12 saat,€47.61,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:29:04,bakirkoy_to_istanbul,12 saat,€54.1,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:29:04,bakirkoy_to_istanbul,12 saat,€68.14,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
2025-03-31 00:29:04,bakirkoy_to_istanbul,12 saat,€100.98,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:29:08,istanbul_to_arnavutkoy,4 saat,€42.99,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:29:08,istanbul_to_arnavutkoy,4 saat,€61.5,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:29:08,istanbul_to_arnavutkoy,4 saat,€61.5,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:29:08,istanbul_to_arnavutkoy,4 saat,€61.5,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
